si_code,lati,long,PET
ARG_MAZ,-51.57944,-72.28639,645.3384660988409
ARG_TRE,-51.31667,-72.185,675.1999484053008
AUS_BRI_BRI,-37.870556,145.84972,1083.60052069179
AUS_CAN_ST1_EUC,-37.58,149.17,1010.355218850076
AUS_CAN_ST2_MIX,-37.58,149.17,1010.355218850076
AUS_CAN_ST3_ACA,-37.58,149.17,1010.355218850076
AUS_CAR_THI_00F,-38.383,146.683,965.5743571334117
AUS_CAR_THI_0P0,-38.383,146.683,965.5743571334117
AUS_CAR_THI_0PF,-38.383,146.683,965.5743571334117
AUS_CAR_THI_CON,-38.383,146.683,965.5743571334117
AUS_CAR_THI_T00,-38.383,146.683,965.5743571334117
AUS_CAR_THI_T0F,-38.383,146.683,965.5743571334117
AUS_CAR_THI_TP0,-38.383,146.683,965.5743571334117
AUS_CAR_THI_TPF,-38.383,146.683,965.5743571334117
AUS_ELL_HB_HIG,-36.785,146.582,1123.5615513855807
AUS_ELL_MB_MOD,-36.785,146.582,1123.5615513855807
AUS_ELL_UNB,-36.785,146.581,1121.8694991698706
AUS_KAR,-22.623701,118.218654,1882.2633863516448
AUS_MAR_HSD_HIG,-37.643,145.581,1106.937708939231
AUS_MAR_HSW_HIG,-37.647,145.574,1122.6076069669311
AUS_MAR_MSD_MOD,-37.642,145.584,1108.1128242246255
AUS_MAR_MSW_MOD,-37.649,145.572,1131.7176774019206
AUS_MAR_UBD,-37.691,145.565,1102.9383067100828
AUS_MAR_UBW,-37.888,145.572,1098.5954848606555
AUS_RIC_EUC_ELE,-33.6177777777778,150.74027777777778,1358.2763972890912
AUS_WOM,-37.4222,144.0944,1044.6649110221504
AUT_PAT_FOR,47.21027778,11.45194444,539.3165534223756
AUT_PAT_KRU,47.21027778,11.45194444,539.3165534223756
AUT_PAT_TRE,47.21027778,11.45194444,539.3165534223756
AUT_TSC,47.233333333333334,10.83888888888889,812.6686143059724
BRA_CAM,-22.69,-45.52,1209.0196420542718
BRA_CAX_CON,-1.792306,-51.434028,1723.531321520328
BRA_SAN,-23.2833333333333,-45.1833333333333,1256.751685471874
CAN_TUR_P39_POS,42.7097777778,-80.3574,866.1272001806408
CAN_TUR_P39_PRE,42.7097777778,-80.3574,866.1272001806408
CAN_TUR_P74,42.7068111111,-80.3483138889,865.2982903214352
CHE_DAV_SEE,46.81668,9.856198,582.0400879599745
